timestep,demand_el,pv,demand_th
167,286858.2570291,0,0.1507227637
168,269818.3605647,0,0.1441735159
169,255418.4480596,0,0.1237197599
170,245320.0478797,0,0.1263291388
171,238083.1687746,0,0.1321229022
172,233121.6604595,0,0.1465407975
173,234907.8034529,0,0.1831344883
174,243616.9813046,0,0.2520080944
175,265604.5400143,0,0.2981848543
176,295710.5109345,0,0.2791958332
177,306058.1403692,0,0.2578288263
178,308236.5886713,0.01781,0.2400606312
179,311079.6483197,0.050901,0.2214337026
180,313968.8615339,0.060377,0.210736122
181,314162.7065099,0.050395,0.2050894987
182,308250.434741,0.040749,0.2052098338
183,303436.6178362,0.024728,0.2077736323
184,300302.7907238,0.0073169,0.2140788775
185,303062.7739539,0,0.2252491553
186,318958.0619884,0,0.2405159524
187,321094.9720813,0,0.2502901799
188,313041.1748629,0,0.2389013683
189,296398.1990637,0,0.2211595052
190,286082.877125,0,0.1839379346
191,283433.6624525,0,0.1269002312
192,270256.819439,0,0.1213861267
193,260107.6503369,0,0.1655940671
194,250876.9371926,0,0.1700881514
195,244406.2072784,0,0.1773041705
196,239283.1614833,0,0.1901486592
197,237243.1738784,0,0.2237509635
198,235244.7244827,0,0.2962577996
199,232637.0480194,0,0.3471333528
200,242656.9871376,0,0.3351252995
201,256646.1329078,0,0.315651352
202,270976.8150643,0.069159,0.2983471149
203,280678.294579,0.1797,0.2770327689
204,287061.3327182,0.21466,0.2642448856
205,288930.55213,0.18781,0.256127093
206,284172.1195041,0.1522,0.2549524913
207,276358.3208274,0.094903,0.2589620391
208,274096.7961071,0.033534,0.2677427087
209,277978.3109842,0,0.2775301242
210,291856.6881967,0,0.2933761694
211,296762.8122329,0,0.3062412067
212,289281.3192295,0,0.2953162858
213,273852.1822087,0,0.2754339962
214,266292.2281436,0,0.2359839151
215,267418.3751472,0,0.1693646938
216,258759.9662178,0,0.1625716563
217,246049.2742181,0,0.1154860344
218,235383.1851798,0,0.1179217554
219,228875.5324131,0,0.1233299357
220,222030.9586166,0,0.1367882996
221,217558.6780982,0,0.1709466284
222,211129.4863932,0,0.2352365983
223,200574.1659127,0,0.2783402294
224,203860.299792,0,0.2606149545
225,215638.6897642,0,0.2406699522
226,229595.5280384,0.072382,0.2240842557
227,238826.2411827,0.18447,0.2066969757
228,251066.166812,0.22796,0.1967113342
229,251735.393515,0.2106,0.1914405016
230,242818.5246176,0.1762,0.1915528283
231,236573.9471755,0.11512,0.1939460024
232,234847.8038175,0.044413,0.1998316246
233,239763.1585668,0,0.2102585046
